band,snr_bin,n,median_rx_ratio,q25_rx_ratio,q75_rx_ratio,median_log_gain_per_db,q25_log_gain_per_db,q75_log_gain_per_db,median_delta_rx_per_db,median_start_snr,median_delta_power,median_rx_lo,median_rx_hi
10m,-30..-28,1,12.0,12.0,12.0,0.41415110829800006,0.41415110829800006,0.41415110829800006,1.8333333333333333,-28.0,6.0,1.0,12.0
10m,-28..-26,2,1.75,1.625,1.875,0.07847230633343641,0.06819794660301566,0.08874666606385714,0.4285714285714286,-27.0,7.0,3.5,6.5
10m,-26..-24,22,1.675,1.0833333333333333,2.375,0.07061761808446987,0.013990394698385566,0.15135573750752265,0.4666666666666667,-24.75,6.5,7.5,14.0
10m,-24..-22,44,1.75,1.1334586466165413,2.7772727272727273,0.08698945434942122,0.016809021387980558,0.17191519675507264,1.619047619047619,-22.5,7.0,16.0,23.0
10m,-22..-20,67,1.1818181818181819,0.775,1.8108320251177394,0.028768207245178083,-0.04068509202968677,0.08311531279131566,0.4,-20.5,7.0,13.0,19.0
10m,-20..-15,166,0.7947368421052632,0.25201612903225806,1.3916083916083917,-0.041022149837641325,-0.311635547329274,0.062218278007733566,-1.0,-17.25,4.0,32.5,20.0
10m,>-15,86,1.2,0.5739522582395226,1.8863636363636365,0.026838989579320665,-0.10801187587174226,0.13958531926588902,0.6904761904761905,-13.0,5.0,37.0,45.5
20m,-28..-26,1,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.05108256237659907,0.05108256237659907,0.05108256237659907,0.4,-26.0,10.0,6.0,10.0
20m,-26..-24,15,1.3888888888888888,0.9230769230769231,2.0384615384615383,0.03677247801253174,-0.023244457173902,0.1031031922020631,0.8,-24.0,7.0,18.0,26.0
20m,-24..-22,27,1.123076923076923,0.9642857142857143,1.7045751633986927,0.019345361875459006,-0.012351328692286974,0.09752850402076702,1.0,-22.0,6.0,26.0,38.0
20m,-22..-20,61,1.1666666666666667,0.825,1.7887323943661972,0.022021525689608336,-0.02876820724517809,0.11073459686368643,0.42857142857142855,-21.0,7.0,36.0,38.0
20m,-20..-15,163,1.0459770114942528,0.8249606161386311,1.6324675324675324,0.008608455931170964,-0.03908632531254556,0.07211471761368032,0.3333333333333333,-17.5,6.0,38.0,42.0
20m,>-15,70,1.0506756756756757,0.6586926586926587,1.6157971014492754,0.006244167790660652,-0.080155395690605,0.09261231014793078,0.4928571428571428,-12.0,4.0,84.5,106.0
40m,-30..-28,1,4.1,4.1,4.1,0.47032899123675403,0.47032899123675403,0.47032899123675403,10.333333333333334,-28.0,3.0,10.0,41.0
40m,-28..-26,5,1.196969696969697,1.1515151515151516,3.727272727272727,0.0201540854657008,0.017979311044059598,0.34275672224727555,1.4285714285714286,-26.0,4.0,66.0,76.0
40m,-26..-24,30,1.9291666666666667,0.815530303030303,4.960470085470085,0.14821304147343578,-0.0492574997167464,0.271374752989126,4.380952380952381,-24.0,4.0,25.0,69.0
40m,-24..-22,42,1.0719756480754126,0.7414223850766156,2.142184557438795,0.013550452540582007,-0.05511037579948865,0.13455070946894299,1.0,-22.25,7.0,59.0,61.0
40m,-22..-20,39,1.4285714285714286,0.5772727272727273,2.672664835164835,0.06771468392135041,-0.0658045051223321,0.10656412735981641,5.0,-21.0,10.0,92.0,107.0
40m,-20..-15,41,1.0077519379844961,0.7456140350877193,1.8275862068965518,0.0007722046093910319,-0.04451046420817421,0.08075575317376894,0.1,-17.0,7.0,69.0,91.0
40m,>-15,73,1.0169491525423728,0.74,1.5714285714285714,0.002801186386063532,-0.060349494049052155,0.09305986511996099,0.25,-10.0,4.0,109.0,115.0
